1.8   0.10000000000000001   (0.24341847616253814,0.032419232762030542)   (0.089831923831038205,-0.032419232762030542)   (0.48683695232507634,0.06483846552406114)   (0.1796638476620761,-0.06483846552406114)   
1.8   1   (0.11212779383390929,-0.06300411045052158)   (0.22112260615966706,0.06300411045052158)   (0.22425558766781845,-0.1260082209010433)   (0.44224521231933395,0.1260082209010433)   
1.8   2   (0.15449416377753461,0.082364469768339804)   (0.17875623621604173,-0.082364469768339804)   (0.30898832755506894,0.16472893953667972)   (0.35751247243208351,-0.16472893953667972)   
1.8   10   (0.11101937249200157,0.062030968650383954)   (0.22223102750157478,-0.062030968650383954)   (0.22203874498400292,0.12406193730076799)   (0.44446205500314956,-0.12406193730076799)   
1.8999999999999999   0   (0.24999999999999997,0)   (0.083277736892946125,0)   (0.49999999999999994,0)   (0.166555473785892,0)   
1.8999999999999999   0.10000000000000001   (0.24341955513636981,0.03242987825206696)   (0.089858181756576269,-0.03242987825206696)   (0.48683911027273963,0.064859756504133975)   (0.17971636351315229,-0.064859756504133975)   
1.8999999999999999   1   (0.11215039657853777,-0.063024799084178573)   (0.22112734031440831,0.063024799084178573)   (0.22430079315707535,-0.12604959816835729)   (0.44225468062881657,0.12604959816835729)   
1.8999999999999999   2   (0.15450982098711075,0.082391515755168357)   (0.17876791590583535,-0.082391515755168357)   (0.30901964197422116,0.1647830315103368)   (0.35753583181167076,-0.1647830315103368)   
1.8999999999999999   10   (0.11104215695102504,0.062051337733871025)   (0.22223557994192103,-0.062051337733871025)   (0.22208431390204986,0.12410267546774215)   (0.44447115988384206,-0.12410267546774215)   
2   0   (0.24999999999999997,0)   (0.083296063875514345,0)   (0.49999999999999994,0)   (0.16659212775102844,0)   
2   0.10000000000000001   (0.24342027849326325,0.032437015115238194)   (0.089875785382251064,-0.032437015115238194)   (0.48684055698652651,0.064874030230476443)   (0.17975157076450191,-0.064874030230476443)   
2   1   (0.11216554972744458,-0.063038668990317667)   (0.22113051414806975,0.063038668990317667)   (0.22433109945488897,-0.12607733798063545)   (0.44226102829613939,0.12607733798063545)   
2   2   (0.15452031776668648,0.082409647706507952)   (0.17877574610882782,-0.082409647706507952)   (0.30904063553337269,0.16481929541301601)   (0.35755149221765564,-0.16481929541301601)   
2   10   (0.11105743192342414,0.062064993409774491)   (0.22223863195209018,-0.062064993409774491)   (0.22211486384684806,0.12412998681954905)   (0.4444772639041803,-0.12412998681954905)   
3   0   (0.24999999999999997,0)   (0.083332650644470152,0)   (0.49999999999999994,0)   (0.16666530128894003,0)   
3   0.10000000000000001   (0.24342172255485023,0.032451262674155386)   (0.089910928089619882,-0.032451262674155386)   (0.48684344510970046,0.064902525348310841)   (0.17982185617923943,-0.064902525348310841)   
3   1   (0.11219580046599047,-0.063066357948358659)   (0.22113685017847967,0.063066357948358659)   (0.22439160093198077,-0.12613271589671746)   (0.44227370035695918,0.12613271589671746)   
3   2   (0.15454127283922442,0.082445845128091652)   (0.17879137780524568,-0.082445845128091652)   (0.30908254567844851,0.16489169025618347)   (0.35758275561049147,-0.16489169025618347)   
3   10   (0.1110879258622868,0.062092254692822861)   (0.22224472478218332,-0.062092254692822861)   (0.22217585172457338,0.12418450938564582)   (0.44448944956436659,-0.12418450938564582)   
4   0   (0.24999999999999992,0)   (0.083333320829425628,0)   (0.49999999999999983,0)   (0.16666664165885084,0)   
4   0.10000000000000001   (0.24342174900671734,0.03245152365646977)   (0.089911571822708217,-0.03245152365646977)   (0.48684349801343463,0.064903047312939624)   (0.17982314364541607,-0.064903047312939624)   
4   1   (0.11219635458952867,-0.063066865146005249)   (0.2211369662398969,0.063066865146005249)   (0.22439270917905704,-0.12613373029201069)   (0.44227393247979363,0.12613373029201069)   
4   2   (0.15454165668766898,0.082446508181104078)   (0.1787916641417566,-0.082446508181104078)   (0.30908331337533756,0.16489301636220832)   (0.35758332828351319,-0.16489301636220832)   
4   10   (0.11108848444069212,0.062092754056453106)   (0.22224483638873346,-0.062092754056453106)   (0.22217696888138389,0.12418550811290636)   (0.44448967277746682,-0.12418550811290636)   
5   0   (0.24999999999999997,0)   (0.083333333104316412,0)   (0.49999999999999983,0)   (0.16666666620863232,0)   
5   0.10000000000000001   (0.24342174949120118,0.032451528436537383)   (0.089911583613115187,-0.032451528436537383)   (0.48684349898240237,0.064903056873074863)   (0.17982316722622987,-0.064903056873074863)   
5   1   (0.1121963647386761,-0.063066874435673201)   (0.22113696836564029,0.063066874435673201)   (0.22439272947735184,-0.12613374887134662)   (0.44227393673128035,0.12613374887134662)   
5   2   (0.1545416637181129,0.082446520325368478)   (0.1787916693862035,-0.082446520325368478)   (0.30908332743622535,0.16489304065073715)   (0.35758333877240689,-0.16489304065073715)   
5   10   (0.11108849467143345,0.062092763202635751)   (0.22224483843288292,-0.062092763202635751)   (0.22217698934286645,0.12418552640527167)   (0.44448967686576574,-0.12418552640527167)   
